accn,cik,entityName,loc,end,val,accn_x,entityName_x,loc_x,end_x,assets,accn_y,entityName_y,loc_y,start,end_y,profit,profitability,assets_drop,assets_5,growth_rate,equity,liabilities,debt_to_equity
0001264931-24-000025,1961,WORLDS INC.,US-MA,2024-03-31,181790,0001264931-24-000025,WORLDS INC.,US-MA,2024-03-31,181790,0001264931-24-000052,WORLDS INC.,US-MA,2024-01-01,2024-03-31,-105862,-0.5823312613455085,181790,1532827,-0.8814021412723028,-3248025,3429815,-1.0559693967872785
0000950170-24-055586,2098,ACME UNITED CORP,US-CT,2024-03-31,159381000,0000950170-24-055586,ACME UNITED CORP,US-CT,2024-03-31,159381000,0000950170-24-055586,ACME UNITED CORP,US-CT,2024-01-01,2024-03-31,1636000,0.01026471160301416,159381000,108122000,0.4740848300993322,99092000,60289000,0.6084144027772171
0000002178-24-000054,2178,"ADAMS RESOURCES & ENERGY, INC.",US-TX,2024-03-31,390831000,0000002178-24-000054,"ADAMS RESOURCES & ENERGY, INC.",US-TX,2024-03-31,390831000,0000002178-24-000096,"ADAMS RESOURCES & ENERGY, INC.",US-TX,2024-01-01,2024-03-31,-498000,-0.0012742080336513736,390831000,253656000,0.5407914656069638,91654000,299177000,3.264200144019901
0001654954-24-005809,2186,BK Technologies Corporation,US-FL,2024-03-31,50579,0001654954-24-005809,BK Technologies Corporation,US-FL,2024-03-31,50579,0001437749-24-035026,BK Technologies Corp,US-FL,2024-01-01,2024-03-31,681000,13.46408588544653,50579,35712000,-0.9985836973566308,21517000,29062,0.001350652972068597
0000002969-24-000026,2969,"AIR PRODUCTS AND CHEMICALS, INC.",US-PA,2024-03-31,35921700000,0000002969-24-000026,"AIR PRODUCTS AND CHEMICALS, INC.",US-PA,2024-03-31,35921700000,0000002969-24-000026,"AIR PRODUCTS AND CHEMICALS, INC.",US-PA,2024-01-01,2024-03-31,572400000,0.015934657880890938,35921700000,19501200000,0.842025106147314,14913400000,19586800000,1.3133691847600144
0000950170-24-050199,3197,CECO ENVIRONMENTAL CORP.,US-TX,2024-03-31,589020000,0000950170-24-050199,CECO ENVIRONMENTAL CORP.,US-TX,2024-03-31,589020000,0000950170-24-050199,CECO ENVIRONMENTAL CORP.,US-TX,2024-01-01,2024-03-31,1508000,0.0025601847135920683,589020000,445257000,0.32287645112822483,231523000,352868000,1.5241163944834855
0000003499-24-000015,3499,ALEXANDERS INC,US-NJ,2024-03-31,1391274000,0000003499-24-000015,ALEXANDERS INC,US-NJ,2024-03-31,1391274000,0000003499-24-000015,ALEXANDERS INC,US-NJ,2024-01-01,2024-03-31,16109000,0.011578596308131971,1391274000,1403435000,-0.00866516796289105,230138000,1161136000,5.045390157210022
0000003545-24-000066,3545,"ALICO, INC.",US-FL,2024-03-31,416773000,0000003545-24-000066,"ALICO, INC.",US-FL,2024-03-31,416773000,0000003545-24-000066,"ALICO, INC.",US-FL,2024-01-01,2024-03-31,-15804000,-0.03791992283569233,416773000,472284000,-0.1175373292341049,271738000,140367000,0.5165527088592688
0000003570-24-000055,3570,"CHENIERE ENERGY, INC.",US-TX,2024-03-31,42911000000,0000003570-24-000055,"CHENIERE ENERGY, INC.",US-TX,2024-03-31,42911000000,0000003570-24-000055,"CHENIERE ENERGY, INC.",US-TX,2024-01-01,2024-03-31,502000000,0.0116986320523875,42911000000,35747000000,0.2004084258818922,4250000000,34613000000,8.144235294117648
0000004127-24-000019,4127,"Skyworks Solutions, Inc.",US-CA,2024-03-29,8309700000,0000004127-24-000019,"Skyworks Solutions, Inc.",US-CA,2024-03-29,8309700000,0000004127-24-000070,"Skyworks Solutions, Inc.",US-CA,2023-12-30,2024-03-29,183300000,0.02205855807068847,8309700000,4981900000,0.6679780806519601,6359200000,1950500000,0.30672097119134484
